ccvi_id,zipcode_id,ccvi_score,ccvi_category
1,4,25.5,LOW
2,5,31.7,MEDIUM
3,6,36.1,MEDIUM
4,7,24.6,LOW
5,8,62.5,HIGH
6,9,34.9,MEDIUM
7,10,47,MEDIUM
8,11,8.3,LOW
9,12,27.7,LOW
10,13,28.8,LOW
11,14,40.1,MEDIUM
12,15,20,LOW
13,16,12.9,LOW
14,17,51.7,HIGH
15,18,17,LOW
16,19,40.5,MEDIUM
17,20,51.9,HIGH
18,21,31,LOW
19,22,27.7,LOW
20,23,53.3,HIGH
21,24,34.9,MEDIUM
22,25,45.6,MEDIUM
23,26,8.3,LOW
24,27,48.1,HIGH
25,28,5.1,LOW
26,29,35.6,MEDIUM
27,30,25.5,LOW
28,31,30.8,LOW
29,32,52.9,HIGH
30,33,11.9,LOW
31,34,51.3,HIGH
32,35,11.7,LOW
33,36,19.8,LOW
34,37,48.8,HIGH
35,38,28.7,LOW
36,39,44.8,MEDIUM
37,40,37.4,MEDIUM
38,41,8.3,LOW
39,42,46.6,MEDIUM
40,43,52.5,HIGH
41,44,46.5,MEDIUM
42,45,32.2,MEDIUM
43,46,58.3,HIGH
44,47,11.7,LOW
45,48,53.4,HIGH
46,49,21.2,LOW
47,50,35.7,MEDIUM
48,51,13.1,LOW
49,52,52.3,HIGH
50,53,13.6,LOW
51,54,8.3,LOW
52,55,21.5,LOW
53,56,19.5,LOW
54,57,8.5,LOW
55,58,36.4,MEDIUM
56,59,44.6,MEDIUM
57,61,19.5,LOW
58,62,50.1,HIGH
