vaxchi_id,zipcode_id,date_id,sum_total_first_doses,sum_total_second_doses,sum_first_dose_5_11,sum_first_dose_12_17,sum_first_dose_18_64,sum_first_dose_65_plus,sum_second_dose_5_11,sum_second_dose_12_17,sum_second_dose_18_64,sum_second_dose_65_plus,sum_covid_cases,sum_covid_tests,sum_covid_deaths
1,4,1,212,36,1,6,191,13,0,0,34,1,166,2911,2
2,4,2,518,426,6,2,356,145,2,0,386,38,145,3060,1
3,4,3,691,569,7,3,421,246,1,3,231,332,32,2412,0
4,4,4,1413,611,1,2,1317,87,0,0,383,225,87,2966,0
5,4,5,4132,3184,0,31,3986,115,0,6,2940,238,71,3223,0
6,4,6,1415,3120,0,96,1274,45,0,30,3029,61,34,3219,1
7,4,7,717,951,0,56,639,22,0,93,828,30,3,1744,0
8,4,8,509,392,0,45,435,29,0,24,345,23,29,2394,0
9,4,9,553,314,0,74,451,28,0,12,283,19,74,4008,0
10,4,10,423,254,0,41,349,33,0,6,232,16,236,13693,0
11,4,11,572,206,0,42,456,74,0,8,185,13,102,7000,0
12,4,12,993,276,219,33,689,52,51,11,203,11,81,4940,0
13,4,13,1019,291,60,22,892,45,140,8,139,4,681,8195,0
14,4,14,754,160,52,20,669,13,26,3,123,8,1666,9982,1
15,4,15,360,100,36,20,299,5,16,2,80,2,111,4822,0
16,4,16,193,50,16,9,164,4,12,3,32,3,49,3466,0
17,4,17,238,67,10,13,192,23,3,0,39,25,171,2765,0
18,4,18,255,200,13,13,208,21,6,0,178,16,260,2159,0
19,4,19,146,48,7,2,113,7,9,1,31,7,221,1851,0
20,5,1,84,12,1,0,77,5,0,0,10,2,10,236,1
21,5,2,28,11,0,1,18,3,1,0,6,4,18,266,0
22,5,3,33,3,2,4,24,1,0,0,1,1,8,170,1
23,5,4,178,16,0,5,152,18,1,0,11,4,5,259,0
24,5,5,295,226,0,2,286,7,0,2,206,18,6,267,0
25,5,6,121,290,0,10,105,6,0,2,279,9,2,387,0
26,5,7,108,86,0,10,95,3,0,10,71,5,0,276,0
27,5,8,74,45,0,17,57,0,0,6,37,2,5,389,0
28,5,9,115,32,0,23,84,8,0,1,30,1,10,377,0
29,5,10,103,32,0,20,69,14,0,3,27,2,5,587,1
30,5,11,93,24,0,19,60,14,0,0,20,4,3,1013,0
31,5,12,105,23,12,13,68,12,0,2,20,1,15,1103,0
32,5,13,85,30,7,1,72,5,10,3,16,1,64,1326,0
33,5,14,59,18,3,3,50,3,4,0,12,2,111,993,0
34,5,15,44,8,1,2,40,1,0,0,6,2,8,658,0
35,5,16,46,6,3,5,36,2,0,2,4,0,2,497,0
36,5,17,20,4,0,4,12,4,0,0,1,3,24,471,0
37,5,18,25,8,0,1,22,2,0,0,4,4,20,374,0
38,5,19,38,5,3,6,23,6,0,0,3,2,29,305,0
39,6,1,40,7,3,1,32,2,0,0,5,0,9,253,0
40,6,2,48,15,3,1,38,6,0,0,11,4,13,388,0
41,6,3,54,13,1,4,33,16,1,0,8,4,6,314,0
42,6,4,210,89,2,0,65,143,0,0,43,46,7,340,0
43,6,5,56,57,0,1,40,15,0,0,16,41,5,355,0
44,6,6,114,104,0,0,90,23,2,0,42,60,4,374,0
45,6,7,138,101,1,0,109,28,0,0,64,37,0,174,0
46,6,8,184,100,0,1,167,13,0,0,69,31,1,369,0
47,6,9,250,142,0,0,231,18,0,0,82,60,6,525,0
48,6,10,164,252,0,11,153,0,0,2,244,6,3,613,0
49,6,11,177,120,0,11,165,1,0,11,109,0,4,809,0
50,6,12,128,77,0,24,104,0,0,0,77,0,6,799,0
51,6,13,158,61,0,25,130,3,0,5,56,0,59,1089,0
52,6,14,93,43,0,13,67,13,0,2,38,3,92,1543,0
53,6,15,109,34,0,17,80,12,0,0,32,2,7,629,0
54,6,16,177,49,23,18,127,9,0,2,45,2,7,562,0
55,6,17,104,15,7,7,87,3,5,1,7,2,19,353,0
56,6,18,108,18,16,0,88,3,4,2,10,0,37,352,0
57,6,19,57,6,2,4,49,2,1,0,5,0,17,219,0
